function_name	segment	start	length	locals	args_count	R	F	L	M	O	S	B	T	=	X
B$UPCASE	seg002	00001E8A	0000000B			R	.	L	.	.	.	.	.	.	.
B$UPDATE_CSR	seg002	00002073	0000000E			R	.	L	.	.	.	.	.	.	.
B$USRCSR	seg002	000024B9	00000010			R	.	L	.	.	.	.	.	.	.
B$VARP	seg002	00000ADA	00000017	00000002	00000004	R	F	L	.	.	.	B	.	.	.
B$WCHSET	seg002	000005D8	0000000F	00000006		R	.	L	.	.	.	.	.	.	.
B$WHOME	seg002	00002087	00000007			R	.	L	.	.	.	.	.	.	.
B$WRIT	seg002	0000061F	0000001A	00000002		R	F	L	.	.	.	B	.	.	.
B$WhichSb	seg002	00000D5B	00000023			R	.	L	.	.	.	.	.	.	.
B$cinitsub	seg003	000005BF	00000008			R	F	L	.	.	.	.	.	.	.
B$sub_1FB7A	seg002	0000084A	00000015			R	F	.	.	.	.	.	.	.	.
CDROM_SendDriverRequest	seg003	00000E4A	0000000D			R	.	.	.	.	.	.	.	.	.
CDROM_functions	seg003	00000DE4	00000066	00000002	00000008	R	F	.	.	.	.	B	T	.	.
CDROM_info_check	seg003	000011C7	00000056			R	.	.	.	.	.	.	.	.	.
CD_is_pause?	seg003	00000EC7	00000099			R	.	.	.	.	.	.	.	.	.
CD_play	seg003	0000115F	00000068	00000008		R	.	.	.	.	.	.	.	.	.
CD_resume	seg003	00001030	0000002E			R	.	.	.	.	.	.	.	.	.
CD_stoppause	seg003	00000FEE	00000023			R	.	.	.	.	.	.	.	.	.
CD_stopplay	seg003	00000EA2	0000001E			R	.	.	.	.	.	.	.	.	.
CRT_Shake	seg012	000000D3	0000001D	00000002	00000004	R	F	.	.	.	.	B	.	.	.
Check_CD_info	seg003	000010FF	00000060			R	.	.	.	.	.	.	.	.	.
ClearWithEffect_internal	seg001	00008A93	000000CC	00000020	00000006	R	F	.	.	.	.	B	.	.	.
